"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"36474580",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36466598",,,"",,"alps, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36463450",,"7511","",,"dementia, ",,,,,,,,,,"air pollution",,1,"projTutoParkinson","2023-12-28"
,"36457758",,,"",,"parkinson's disease, osteoporosis",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36450605",,,"",,"dementia, ",,,,,,,,,,"non",,1,"projTutoParkinson","2023-12-28"
,"36444971",,"17","",,"",,,,,,,,,,"Mild",,1,"projTutoParkinson","2023-12-28"
,"36409557",,"586","norway",,"",,,,,,,,,,"systemic inflammation",,1,"projTutoParkinson","2023-12-28"
,"36399891",,"303","australia",,"",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
,"36395092",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36353842",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36336171",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36324708",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36324415",,,"",,"dementia, hypertension ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36324405",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36323521",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36314200",,"239","singapore, india",,"",,,,,,,,,,"Older age",,1,"projTutoParkinson","2023-12-28"
,"36267007",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36266468",,,"",,"parkinson's disease, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36253640",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36240992",,,"mali",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36224715",,,"spanish, chinese",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36221141",,"1200","india",,"dementia, ",,,,,,,,,,"Alzheimer's disease",,1,"projTutoParkinson","2023-12-28"
,"36195205",,,"",,"dementia, menopause",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36191755",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36183864",,,"",,", ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36175148",,"9","",,"dementia, stroke",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
,"36169300",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36162365",,,"",,"dementia, ",,,,,,,,,,"lower educational attainment",,1,"projTutoParkinson","2023-12-28"
,"36153737",,"1140","malaysia",,"",,,,,,,,,,"mild impairment",,1,"projTutoParkinson","2023-12-28"
,"36149821",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36148819",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36122168",,,"",,"diabetes, neurodegenerative diseases , dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36100909",,,"",,"parkinson's disease, cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36093903",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36062540",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36062150",,,"",,"alzheimer's disease, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36056631",,"4338","",,"dementia, ",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
